event_index,event_title,event_date,related_companies,related_concepts,status,matched_by,matched_value,stock_code,stock_name,trade_date_used,turnover_rate,float_mv,reason
53,郑商所提示尿素期货风险,2026-04-27 19:14:07,郑州商品交易所,尿素|期货|化工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
54,美军封锁伊朗港口,2026-04-27 19:11:41,,航运|石油|军工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
55,礼来目标价下调,2026-04-27 19:11:26,礼来,创新药|减肥药|GLP-1,ok,concept,"创新药,减肥药",603538,美诺华,2026-04-17,27.274,113.5226,
56,威瑞森盘前上涨近4%,2026-04-27 19:09:18,威瑞森,通信服务|美股映射|电信运营,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
57,ST辉丰收深交所监管函,2026-04-27 19:08:38,*ST辉丰,ST板块|农药|化工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
58,中欧班列通行量增长,2026-04-27 19:07:12,,中欧班列|一带一路|物流运输,ok,concept,一带一路,920249,利尔达,2026-04-17,34.5014,14.2373,
59,可立克Q1净利润同比降63.63%,2026-04-27 19:06:46,可立克(002782.SZ),充电桩|磁性元件|新能源,ok,concept,充电桩,002771,真视通,2026-04-17,44.1472,32.3201,
60,中国宏桥发债回购,2026-04-27 19:06:32,中国宏桥,铝|有色金属|可转债,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
61,贸促会会见哈曼国际CEO,2026-04-27 19:06:05,哈曼国际（非A股）,中美贸易|汽车电子|智能座舱,ok,concept,汽车电子,920249,利尔达,2026-04-17,34.5014,14.2373,
62,美联航谈判终止,2026-04-27 19:05:41,,航空运输|民航机场|交通运输,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
63,亚运会调整至奥运前一年,2026-04-27 19:04:45,,体育产业|亚运会概念|赛事运营,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
64,美联航CEO称美航拒交易,2026-04-27 19:02:21,,航空运输|民航机场|国际航线,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
65,威瑞森上调全年盈利预期,2026-04-27 19:01:00,威瑞森电信,通信服务|5G|电信运营,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
66,商米科技港股招股结束,2026-04-27 19:00:42,商米科技|Uber Eats|山姆会员店,商业物联网|AIOS|智能终端,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
67,财政部与国际可持续准则理事会交流,2026-04-27 19:00:18,,ESG概念|碳中和|绿色金融,ok,concept,碳中和,002272,川润股份,2026-04-17,26.8817,82.6878,
68,多国央行集体减持黄金,2026-04-27 18:59:39,紫金矿业|山东黄金|中金黄金,黄金|贵金属|央行储备,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
69,申请撤销退市风险警示,2026-04-27 18:57:56,*ST摩登(002656.SZ),ST板块|摘帽概念|纺织服装,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
70,东山精密Q1净利增143%,2026-04-27 18:57:07,东山精密(002384.SZ)|索尔思光电|GMD集团,光模块|5G通信|PCB,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
71,晶盛机电Q1净利降82%,2026-04-27 18:56:28,晶盛机电(300316.SZ),光伏设备|半导体设备|单晶硅,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
72,新疆库车3.7级地震,2026-04-27 18:56:02,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
73,全国防汛抗旱工作视频会议,2026-04-27 18:55:17,中国电建|葛洲坝|新兴铸管,水利建设|应急管理|海绵城市,ok,company,"中国电建,葛洲坝,新兴铸管",000778,新兴铸管,2026-04-17,0.838,173.651,
74,华谊兄弟预重整债权申报,2026-04-27 18:52:41,华谊兄弟(300027.SZ),影视传媒|ST板块|破产重整,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
75,恒工精密Q1净利增211%,2026-04-27 18:51:20,恒工精密(301261.SZ),人形机器人|精密制造|机器人本体,ok,concept,人形机器人,920249,利尔达,2026-04-17,34.5014,14.2373,
76,东方日升一季度亏损3.61亿,2026-04-27 18:46:09,东方日升(300118.SZ),光伏|新能源|汇兑损益,ok,concept,光伏,920249,利尔达,2026-04-17,34.5014,14.2373,
77,礼来收购Ajax Therapeutics,2026-04-27 18:46:07,礼来|Ajax Therapeutics,创新药|骨髓纤维化|医药并购,ok,concept,创新药,300858,科拓生物,2026-04-17,22.448,49.8159,
78,巴基斯坦意外加息100基点,2026-04-27 18:44:48,,巴基斯坦概念|新兴市场货币|利率敏感,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
79,亿晶光电被实施退市风险警示,2026-04-27 18:44:38,亿晶光电(600537.SH),光伏|退市风险警示|ST板块,ok,concept,光伏,920249,利尔达,2026-04-17,34.5014,14.2373,
80,千问首发灰测HappyHorse模型,2026-04-27 18:44:01,阿里巴巴,AI视频生成|大模型应用|阿里概念,ok,concept,阿里概念,002771,真视通,2026-04-17,44.1472,32.3201,
81,摩根大通职位迁移,2026-04-27 18:43:42,摩根大通,金融|银行|欧洲业务,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
82,海天味业Q1净利润增10.97%,2026-04-27 18:43:22,海天味业(603288.SH),调味品|食品饮料|消费龙头,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
83,花旗上调贝克休斯目标价,2026-04-27 18:43:17,贝克休斯|杰瑞股份|中海油服,油服|页岩气|能源设备,ok,company,"贝克休斯,杰瑞股份,中海油服",601808,中海油服,2026-04-17,0.5496,451.4714,
84,五一假期600万人次进出香港,2026-04-27 18:42:33,,旅游|免税店|粤港澳大湾区,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
85,湖南裕能Q1净利增1338%,2026-04-27 18:42:06,湖南裕能(301358.SZ),磷酸铁锂|碳酸锂|正极材料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
86,瑞穗下调Adobe评级,2026-04-27 18:41:32,Adobe,AI软件|云计算|数字媒体,ok,concept,云计算,000815,美利云,2026-04-17,25.645,150.1768,
87,穆迪上调中国主权信用展望至稳定,2026-04-27 18:39:36,,主权信用|宏观经济|财政政策,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
88,优迅股份一季度净利增20%,2026-04-27 18:39:35,优迅股份(688807.SH),半导体|芯片设计|科创板,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
89,源杰科技Q1净利润增1153%,2026-04-27 18:39:26,源杰科技(688498.SH),光模块|数据中心|CW光源,ok,concept,数据中心,002771,真视通,2026-04-17,44.1472,32.3201,
90,一季度农业保险保障1.57万亿,2026-04-27 18:38:12,中国人保|中国太保|中国平安,农业保险|保险|乡村振兴,ok,concept,乡村振兴,600103,青山纸业,2026-04-17,23.0983,95.1301,
91,全球基金净卖出印度股票,2026-04-27 18:37:23,,外资动向|印度股市|资金流出,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
92,机构净买入两家科技公司,2026-04-27 18:36:41,华为|英伟达|Deepseek,AI服务器|HVDC|数据中心,ok,concept,数据中心,002771,真视通,2026-04-17,44.1472,32.3201,
93,微软目标价下调,2026-04-27 18:35:59,微软,人工智能|云计算|软件服务,ok,concept,"人工智能,云计算",002771,真视通,2026-04-17,44.1472,32.3201,
94,玲珑轮胎一季度净利降95%,2026-04-27 18:35:17,玲珑轮胎(601966.SH),轮胎|汽车零部件|汇兑损益,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
95,华谊集团资产置换,2026-04-27 18:33:26,华谊集团(600623.SH)|上海华谊|广西能化,资产重组|国企改革|化工,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
96,超捷股份新增箭体结构件产线,2026-04-27 18:32:21,超捷股份,商业航天|火箭制造|军工,ok,company,超捷股份,301005,超捷股份,2026-04-17,6.6185,222.3826,
97,信安世纪被ST,2026-04-27 18:31:25,信安世纪(688201.SH),网络安全|金融科技|国产软件,ok,concept,国产软件,600410,华胜天成,2026-04-17,22.9354,317.3256,
98,小米集团回购股份,2026-04-27 18:30:06,小米集团,小米概念|港股回购|消费电子,ok,concept,小米概念,000889,中嘉博创,2026-04-17,31.6898,46.015,
99,美股存储股盘前上涨,2026-04-27 18:25:10,兆易创新|北京君正|澜起科技,存储芯片|半导体|消费电子,ok,company,"兆易创新,北京君正,澜起科技",300223,北京君正,2026-04-17,4.4955,491.1844,
100,中远海能收购大连投资,2026-04-27 18:24:11,中远海能(600026.SH)|中远海运,航运|能源化工|氢能,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
101,澜起科技Q1净利润增61%,2026-04-27 18:22:46,澜起科技(688008.SH),DDR5|AI芯片|服务器内存接口,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
102,中远海能Q1净利润增207%,2026-04-27 18:22:30,中远海能(600026.SH),油运|航运|外贸,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
103,大摩上调闪迪目标价,2026-04-27 18:21:33,闪迪,存储芯片|半导体|消费电子,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
104,南山铝业Q1净利润降35%,2026-04-27 18:19:41,南山铝业(600219.SH),氧化铝|铝加工|有色金属,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
105,台积电零容忍商业秘密保护,2026-04-27 18:19:18,台积电,半导体|芯片|知识产权保护,ok,concept,芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
106,锡业股份Q1净利润增73.71%,2026-04-27 18:17:41,锡业股份(000960.SZ),有色金属|锡|小金属,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
107,凯莱英Q1净利润同比下降6.82%,2026-04-27 18:16:33,凯莱英(002821.SZ),CRO|CDMO|医药外包,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
108,招商南油Q1净利润同比增51.73%,2026-04-27 18:16:07,招商南油(601975.SH),成品油运输|航运|周期股,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
109,青岛啤酒Q1净利润同比增5.23%,2026-04-27 18:13:16,青岛啤酒(600600.SH),啤酒|消费白马|食品饮料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
110,闪迪获买入评级,2026-04-27 18:13:10,闪迪,存储芯片|半导体|消费电子,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
111,巴克莱上调英特尔目标价,2026-04-27 18:11:25,英特尔,半导体|芯片设计|AI芯片,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
112,泰国综指收盘上涨,2026-04-27 18:10:31,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
113,至纯科技业绩预告大幅下修,2026-04-27 18:10:18,至纯科技(603690.SH),半导体设备|集成电路|业绩预亏,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
114,马斯克行使绩效奖励,2026-04-27 18:09:22,特斯拉,特斯拉|新能源汽车|股权激励,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
115,铜冠铜箔Q1净利润增2138%,2026-04-27 18:09:04,铜冠铜箔(301217.SZ),铜箔|锂电池|新能源汽车,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
116,加拿大设立主权财富基金,2026-04-27 18:07:58,,主权财富基金|加拿大概念|跨境投资,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
117,达美乐营收不及预期,2026-04-27 18:06:53,达美乐比萨,餐饮连锁|消费复苏|美股映射,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
118,奕境X9搭载华为乾崑展出,2026-04-27 18:05:00,奕境|华为,华为汽车|智能驾驶|激光雷达,ok,concept,华为汽车,002902,铭普光磁,2026-04-17,29.9372,53.9647,
119,南亚新材Q1净利润增611%,2026-04-27 18:03:22,南亚新材(688519.SH),覆铜板|PCB|电子材料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
120,Meta联手开发太空太阳能,2026-04-27 18:02:23,Meta|Overview Energy,太空太阳能|数据中心|清洁能源,ok,concept,数据中心,002771,真视通,2026-04-17,44.1472,32.3201,
121,上期所劳动节休市安排,2026-04-27 18:02:14,,期货概念,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
122,国投白银LOF停牌复牌,2026-04-27 17:59:11,国投瑞银基金管理有限公司,白银|LOF基金|停复牌,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
123,郑商所调整保证金及涨跌停板,2026-04-27 17:59:09,,期货概念|大宗商品|风险管理,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
124,纳指科技ETF停牌,2026-04-27 17:59:08,景顺,ETF|纳斯达克|科技,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
125,纳微科技Q1净利润增133%,2026-04-27 17:58:11,纳微科技(688690.SH),色谱填料|层析介质|生物医药,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
126,内塔尼亚胡推迟腐败案听证会,2026-04-27 17:58:01,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
127,中国化学Q1净利润增8.46%,2026-04-27 17:54:31,中国化学(601117.SH),基建工程|化学工程|央企改革,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
128,大商所调整保证金及涨跌停板,2026-04-27 17:51:05,,期货概念|大宗商品|风险管理,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
129,绿色动力与阿里云合作,2026-04-27 17:50:27,绿色动力(601330.SH)|阿里云,智慧电厂|固废处理数字化|AI+环保,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
130,恒立液压Q1净利增5.59%,2026-04-27 17:47:59,恒立液压(601100.SH),工程机械|液压件|高端制造,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
131,欧盟延长对缅甸制裁,2026-04-27 17:47:53,,,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
132,博云新材Q1净利润暴增13362%,2026-04-27 17:47:33,博云新材(002297.SZ),硬质合金|碳化钨|军工材料,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
133,南向资金净卖出41亿港元,2026-04-27 17:43:52,盈富基金|南方恒生科技|中芯国际,港股通|南向资金|ETF,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
134,美银预计美关税将下降,2026-04-27 17:43:43,,外贸|出口退税|人民币汇率,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
135,印度夏季化肥需求预测,2026-04-27 17:42:08,云天化|华鲁恒升|兴发集团,化肥|农业种植|化工,ok,company,"云天化,华鲁恒升,兴发集团",600141,兴发集团,2026-04-17,1.9898,380.3506,
136,杰富瑞下调通用福特目标价,2026-04-27 17:40:49,通用汽车|福特汽车,汽车整车|传统燃油车|美股映射,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
137,百济神州与华辉安健合作,2026-04-27 17:39:44,百济神州(688235.SH)|华辉安健,创新药|PD-1|双抗/三抗,ok,concept,创新药,300858,科拓生物,2026-04-17,22.448,49.8159,
138,Meta预计Manus交易将解决,2026-04-27 17:38:48,Meta Platforms Inc.,社交媒体|元宇宙|人工智能,ok,concept,人工智能,002771,真视通,2026-04-17,44.1472,32.3201,
139,乌克兰延长战时状态90天,2026-04-27 17:38:24,,军工|黄金|石油,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
140,思瑞浦一季度净利润增577%,2026-04-27 17:34:40,思瑞浦(688536.SH),光模块|服务器|汽车芯片,ok,concept,汽车芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
141,宁德时代拟配售募资50亿美元,2026-04-27 17:28:35,宁德时代,锂电池|新能源汽车|储能,ok,concept,储能,301157,华塑科技,2026-04-17,41.1832,17.714,
142,云天化Q1净利润同比增10.39%,2026-04-27 17:26:12,云天化(600096.SH),化肥|磷化工|国企改革,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
143,贝莱德减持美的H股,2026-04-27 17:25:45,美的集团,家电|外资持股|白马股,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
144,中电港一季度净利润增87%,2026-04-27 17:24:57,中电港(001287.SZ),存储芯片|半导体|电子元器件,ok,concept,存储芯片,920249,利尔达,2026-04-17,34.5014,14.2373,
145,贝莱德增持中国银行H股,2026-04-27 17:20:57,中国银行,银行|H股|外资增持,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
146,公司布局国产算力与液冷材料,2026-04-27 17:19:31,,国产算力|液冷|CPO,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
147,33款App因信息收集被通报,2026-04-27 17:19:19,,数据安全|个人信息保护|网络安全,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
148,花园生物胆固醇产线复产,2026-04-27 17:19:18,花园生物(300401.SZ),维生素D3|胆固醇|医药中间体,no_match,,,,,,,,公司未匹配或概念无候选，或候选流通市值均>=500亿
149,上合组织ICT发展会议召开,2026-04-27 17:18:35,,人工智能|数据中心|算力,ok,concept,"人工智能,数据中心",002771,真视通,2026-04-17,44.1472,32.3201,
150,伊朗暂停钢铁出口,2026-04-27 17:16:05,宝钢股份|鞍钢股份|河钢资源,钢铁|出口限制|原材料涨价,ok,company,"宝钢股份,鞍钢股份,河钢资源",000923,河钢资源,2026-04-17,1.5671,118.9873,
